Ibirite	Ibirité	http://fr.dbpedia.org/resource/Ibirité
Ibirité	Ibirité	http://fr.dbpedia.org/resource/Ibirité
Ipstone	Ibstone	http://fr.dbpedia.org/resource/Ibstone
Ibstone	Ibstone	http://fr.dbpedia.org/resource/Ibstone
Igrejinha	Igrejinha	http://fr.dbpedia.org/resource/Igrejinha
Illmensee	Illmensee	http://fr.dbpedia.org/resource/Illmensee
Indes Orientales Espagnoles	Indes orientales espagnoles	http://fr.dbpedia.org/resource/Indes_orientales_espagnoles
Indes orientales espagnoles	Indes orientales espagnoles	http://fr.dbpedia.org/resource/Indes_orientales_espagnoles
Rivière Isonzo	Isonzo	http://fr.dbpedia.org/resource/Isonzo
Isonzo	Isonzo	http://fr.dbpedia.org/resource/Isonzo
Soča	Isonzo	http://fr.dbpedia.org/resource/Isonzo
Passage de l'Isonzo	Isonzo	http://fr.dbpedia.org/resource/Isonzo
Isset (rivière)	Isset	http://fr.dbpedia.org/resource/Isset
Isset	Isset	http://fr.dbpedia.org/resource/Isset
Iset (riviere)	Isset	http://fr.dbpedia.org/resource/Isset
Iset (rivière)	Isset	http://fr.dbpedia.org/resource/Isset
Itaborai	Itaboraí	http://fr.dbpedia.org/resource/Itaboraí
Itaboraí	Itaboraí	http://fr.dbpedia.org/resource/Itaboraí
Itacare	Itacaré	http://fr.dbpedia.org/resource/Itacaré
Itacaré	Itacaré	http://fr.dbpedia.org/resource/Itacaré
Itaparica (Ville)	Itaparica (ville)	http://fr.dbpedia.org/resource/Itaparica_(ville)
Itaparica (ville)	Itaparica (ville)	http://fr.dbpedia.org/resource/Itaparica_(ville)
Itapecerica Da Serra	Itapecerica da Serra	http://fr.dbpedia.org/resource/Itapecerica_da_Serra
Itapecerica da Serra	Itapecerica da Serra	http://fr.dbpedia.org/resource/Itapecerica_da_Serra
Itapecerica da serra	Itapecerica da Serra	http://fr.dbpedia.org/resource/Itapecerica_da_Serra
Mine d’argent de Iwami Ginzan et son paysage culturel	Iwami Ginzan	http://fr.dbpedia.org/resource/Iwami_Ginzan
Iwami Ginzan	Iwami Ginzan	http://fr.dbpedia.org/resource/Iwami_Ginzan
INF Vichy	Institut national du football de Vichy	http://fr.dbpedia.org/resource/Institut_national_du_football_de_Vichy
Institut national du football de Vichy	Institut national du football de Vichy	http://fr.dbpedia.org/resource/Institut_national_du_football_de_Vichy
Institut National du Football de Vichy	Institut national du football de Vichy	http://fr.dbpedia.org/resource/Institut_national_du_football_de_Vichy
Issole (alpes-de-haute-provence)	Issole (Alpes-de-Haute-Provence)	http://fr.dbpedia.org/resource/Issole_(Alpes-de-Haute-Provence)
Issole (Alpes-de-Haute-Provence)	Issole (Alpes-de-Haute-Provence)	http://fr.dbpedia.org/resource/Issole_(Alpes-de-Haute-Provence)
Indaiatuba	Indaiatuba	http://fr.dbpedia.org/resource/Indaiatuba
Inzigkofen	Inzigkofen	http://fr.dbpedia.org/resource/Inzigkofen
Ipswich (Australie)	Ipswich (Australie)	http://fr.dbpedia.org/resource/Ipswich_(Australie)
Iracema (Roraima)	Iracema (Roraima)	http://fr.dbpedia.org/resource/Iracema_(Roraima)
Isola Madre	Isola Madre	http://fr.dbpedia.org/resource/Isola_Madre
Isola dei Pescatori	Isola dei Pescatori	http://fr.dbpedia.org/resource/Isola_dei_Pescatori
Itabaiana (Sergipe)	Itabaiana (Sergipe)	http://fr.dbpedia.org/resource/Itabaiana_(Sergipe)
Itabira	Itabira	http://fr.dbpedia.org/resource/Itabira
Itacoatiara	Itacoatiara	http://fr.dbpedia.org/resource/Itacoatiara
Itapetininga	Itapetininga	http://fr.dbpedia.org/resource/Itapetininga
Itapevi	Itapevi	http://fr.dbpedia.org/resource/Itapevi
Itaquaquecetuba	Itaquaquecetuba	http://fr.dbpedia.org/resource/Itaquaquecetuba
Itu	Itu	http://fr.dbpedia.org/resource/Itu
Impasse Florimont	Impasse Florimont	http://fr.dbpedia.org/resource/Impasse_Florimont
Ingressin	Ingressin	http://fr.dbpedia.org/resource/Ingressin
Isch	Isch	http://fr.dbpedia.org/resource/Isch
Yakhroma	Iakhroma	http://fr.dbpedia.org/resource/Iakhroma
Iakhroma	Iakhroma	http://fr.dbpedia.org/resource/Iakhroma
Yasnogorsk	Iasnogorsk	http://fr.dbpedia.org/resource/Iasnogorsk
Iasnogorsk	Iasnogorsk	http://fr.dbpedia.org/resource/Iasnogorsk
Yegorievsk	Iegorievsk	http://fr.dbpedia.org/resource/Iegorievsk
Iegorievsk	Iegorievsk	http://fr.dbpedia.org/resource/Iegorievsk
Yegoryevsk	Iegorievsk	http://fr.dbpedia.org/resource/Iegorievsk
