Mayer i Olivé, Marc	Mayer, Marc	http://datos.bne.es/resource/XX874931	http://viaf.org/viaf/41897352	http://viaf.org/viaf/103211501
Mayer Olivé, M.	Mayer, Marc	http://datos.bne.es/resource/XX874931	http://viaf.org/viaf/41897352	http://viaf.org/viaf/103211501
Mayer Olivé, Marc	Mayer, Marc	http://datos.bne.es/resource/XX874931	http://viaf.org/viaf/41897352	http://viaf.org/viaf/103211501
Millán Domínguez, Juan Francisco	Millán Domínguez, Juan Francisco	http://datos.bne.es/resource/XX1639277
Martínez Cuevas, Alfredo J.	Martínez Cuevas, Alfredo J.	http://datos.bne.es/resource/XX1069586	http://viaf.org/viaf/86692859
Martínez Cuevas, Alfredo	Martínez Cuevas, Alfredo J.	http://datos.bne.es/resource/XX1069586	http://viaf.org/viaf/86692859
Morrison, Minion K. C.	Morrison, Minion K. C.	http://datos.bne.es/resource/XX1127758	http://viaf.org/viaf/94810813
Morrison, K. C.	Morrison, Minion K. C.	http://datos.bne.es/resource/XX1127758	http://viaf.org/viaf/94810813
Mateu, Emilio	Mateu, Emilio	http://datos.bne.es/resource/XX1038522	http://viaf.org/viaf/3954955
Mateu, E.	Mateu, Emilio	http://datos.bne.es/resource/XX1038522	http://viaf.org/viaf/3954955
Mateu Nadal, Emilio	Mateu, Emilio	http://datos.bne.es/resource/XX1038522	http://viaf.org/viaf/3954955
Monjo Poveda, Diego	Monjo Poveda, Diego	http://datos.bne.es/resource/XX867754	http://viaf.org/viaf/87718098
Monjo, Diego	Monjo Poveda, Diego	http://datos.bne.es/resource/XX867754	http://viaf.org/viaf/87718098
Malats, Segismundo	Malats, Segismundo	http://datos.bne.es/resource/XX1074935	http://viaf.org/viaf/14123555
Malats i Codina, Segismundo	Malats, Segismundo	http://datos.bne.es/resource/XX1074935	http://viaf.org/viaf/14123555
Mauburnus, Johannes	Mauburnus, Johannes	http://datos.bne.es/resource/XX1035684	http://viaf.org/viaf/56632525
Mauburnus, Jan	Mauburnus, Johannes	http://datos.bne.es/resource/XX1035684	http://viaf.org/viaf/56632525
Mombaer, Jan	Mauburnus, Johannes	http://datos.bne.es/resource/XX1035684	http://viaf.org/viaf/56632525
Mombaer, Jean	Mauburnus, Johannes	http://datos.bne.es/resource/XX1035684	http://viaf.org/viaf/56632525
Jean de Bruxelles	Mauburnus, Johannes	http://datos.bne.es/resource/XX1035684	http://viaf.org/viaf/56632525
Bruxelles, Jean de	Mauburnus, Johannes	http://datos.bne.es/resource/XX1035684	http://viaf.org/viaf/56632525
Jean de Bruselas	Mauburnus, Johannes	http://datos.bne.es/resource/XX1035684	http://viaf.org/viaf/56632525
Bruxella, Johannes de	Mauburnus, Johannes	http://datos.bne.es/resource/XX1035684	http://viaf.org/viaf/56632525
Johannes de Bruxella	Mauburnus, Johannes	http://datos.bne.es/resource/XX1035684	http://viaf.org/viaf/56632525
Johannes von Brüssel	Mauburnus, Johannes	http://datos.bne.es/resource/XX1035684	http://viaf.org/viaf/56632525
Muñoz Ceínos, Ana María	Muñoz Ceínos, Ana María	http://datos.bne.es/resource/XX1040872	http://viaf.org/viaf/63122981
Muñoz, Ana María	Muñoz Ceínos, Ana María	http://datos.bne.es/resource/XX1040872	http://viaf.org/viaf/63122981
Martin, Henri-Jean	Martin, Henri Jean	http://datos.bne.es/resource/XX836719	http://viaf.org/viaf/98036850	http://www.idref.fr/027012913/id	http://d-nb.info/gnd/122094700	http://dbpedia.org/resource/Henri-Jean_Martin
Martin, H.-J.	Martin, Henri Jean	http://datos.bne.es/resource/XX836719	http://viaf.org/viaf/98036850	http://www.idref.fr/027012913/id	http://d-nb.info/gnd/122094700	http://dbpedia.org/resource/Henri-Jean_Martin
Martin, Henri Jean	Martin, Henri Jean	http://datos.bne.es/resource/XX836719	http://viaf.org/viaf/98036850	http://www.idref.fr/027012913/id	http://d-nb.info/gnd/122094700	http://dbpedia.org/resource/Henri-Jean_Martin
Miltitz, Karl Borromäus Freiherr von	Miltitz, Karl Borromäus Freiherr von	http://datos.bne.es/resource/XX1363376	http://viaf.org/viaf/64773793	http://d-nb.info/gnd/117047155
Molina, Sulpicio	Molina, Sulpicio	http://datos.bne.es/resource/XX1088734	http://viaf.org/viaf/86740151
Morison, Robert	Morison, Robert	http://datos.bne.es/resource/XX1040863
Miranda y Oquendo, Juan de	Miranda y Oquendo, Juan de	http://datos.bne.es/resource/XX1420521
Morisot, Claude Barthelemy	Morisot, Claude Barthelemy	http://datos.bne.es/resource/XX1040869
Mariti, Giovanni	Mariti, Giovanni	http://datos.bne.es/resource/XX1356433
Martinelli, Domenico	Martinelli, Domenico	http://datos.bne.es/resource/XX860930	http://viaf.org/viaf/76399690	http://d-nb.info/gnd/118998315	http://dbpedia.org/resource/Domenico_Martinelli
Martinelli, D.	Martinelli, Domenico	http://datos.bne.es/resource/XX860930	http://viaf.org/viaf/76399690	http://d-nb.info/gnd/118998315	http://dbpedia.org/resource/Domenico_Martinelli
Martinelli de Spoleto, Dominico	Martinelli, Domenico	http://datos.bne.es/resource/XX860930	http://viaf.org/viaf/76399690	http://d-nb.info/gnd/118998315	http://dbpedia.org/resource/Domenico_Martinelli
Meyer, Luis Carlos	Meyer, Luis Carlos	http://datos.bne.es/resource/XX984053	http://viaf.org/viaf/77546275
Muñoz Conde	Muñoz Conde	http://datos.bne.es/resource/XX1640327
Montero, Joaquín	Montero, Joaquín	http://datos.bne.es/resource/XX1631197	http://viaf.org/viaf/180248973	http://viaf.org/viaf/290784691
Miranda, Juan P.	Miranda, Juan P.	http://datos.bne.es/resource/XX1568549
Mohan, Rakesh	Mohan, Rakesh	http://datos.bne.es/resource/XX1113162	http://dbpedia.org/resource/Rakesh_Mohan	http://viaf.org/viaf/7402886	http://d-nb.info/gnd/115831452
Martial D'Auvergne	Martial D' Auvergne	http://datos.bne.es/resource/XX1357185
Moreno y Sasiaimbarrena, Andrés	Moreno y Sasiaimbarrena, Andrés	http://datos.bne.es/resource/XX1531006	http://viaf.org/viaf/87253603
Maioli, Bruno	Maioli, Bruno	http://datos.bne.es/resource/XX1084888	http://viaf.org/viaf/48032209
Momigno, Evangelista de	Momigno, Evangelista de	http://datos.bne.es/resource/XX1035691
Martín de Marco, José Antonio	Martín de Marco, José Antonio	http://datos.bne.es/resource/XX979410	http://viaf.org/viaf/107020556
Martín de Marco, J. A.	Martín de Marco, José Antonio	http://datos.bne.es/resource/XX979410	http://viaf.org/viaf/107020556
Muñiz y Suessa, Pedro	Muñiz y Suessa, Pedro	http://datos.bne.es/resource/XX1043328
Mi	Mi	http://datos.bne.es/resource/XX1363346
Moreno, Manuel	Moreno, Manuel	http://datos.bne.es/resource/XX1251476	http://viaf.org/viaf/87016129
Moreno Claro, Manuel	Moreno, Manuel	http://datos.bne.es/resource/XX1251476	http://viaf.org/viaf/87016129
Meijering, E. P.	Meijering, E. P.	http://datos.bne.es/resource/XX1157006	http://viaf.org/viaf/36927794	http://d-nb.info/gnd/118088246
Mingarellius, Ferdinandus	Mingarellius, Ferdinandus	http://datos.bne.es/resource/XX1765266
Martín Lladó, Miguel Ángel	Martín Lladó, Miguel Ángel	http://datos.bne.es/resource/XX1094386	http://viaf.org/viaf/86754473
Martín, Miguel Ángel	Martín Lladó, Miguel Ángel	http://datos.bne.es/resource/XX1094386	http://viaf.org/viaf/86754473
Martín Lladó, M. A.	Martín Lladó, Miguel Ángel	http://datos.bne.es/resource/XX1094386	http://viaf.org/viaf/86754473
Martín Lladó, Miguel A.	Martín Lladó, Miguel Ángel	http://datos.bne.es/resource/XX1094386	http://viaf.org/viaf/86754473
Macnab, Angus	Macnab, Angus	http://datos.bne.es/resource/XX1114224	http://dbpedia.org/resource/Angus_Macnab	http://viaf.org/viaf/94438252
Manget, Jacques Louis	Manget, Jacques Louis	http://datos.bne.es/resource/XX1353837
Martínez Ruiz, Adolfo	Martínez Ruiz, Adolfo	http://datos.bne.es/resource/XX1120562	http://viaf.org/viaf/30800254
Magalhães, Oldemar	Magalhães, Oldemar	http://datos.bne.es/resource/XX1568530
Meersmans, Humberto	Meersmans, Humberto	http://datos.bne.es/resource/XX1027727
Madalena, Tomas	Madalena, Tomas	http://datos.bne.es/resource/XX1351800
Mádan y García, Augusto E.	Mádan y García, Augusto E.	http://datos.bne.es/resource/XX1351805	http://viaf.org/viaf/77975528
Mádan, Augusto	Mádan y García, Augusto E.	http://datos.bne.es/resource/XX1351805	http://viaf.org/viaf/77975528
Madoni, Augusto	Mádan y García, Augusto E.	http://datos.bne.es/resource/XX1351805	http://viaf.org/viaf/77975528
Muñoz, Alfonso	Muñoz, Alfonso	http://datos.bne.es/resource/XX1043345
Minelli, Maria Pia	Minelli, Maria Pia	http://datos.bne.es/resource/XX984983	http://viaf.org/viaf/44896679	http://d-nb.info/gnd/110285794
Minelli, M. P.	Minelli, Maria Pia	http://datos.bne.es/resource/XX984983	http://viaf.org/viaf/44896679	http://d-nb.info/gnd/110285794
