Xuclà, Antoni	Xuclà, Antoni	http://datos.bne.es/resource/XX1054403	http://dbpedia.org/resource/Toni_Xucl%C3%A0	http://viaf.org/viaf/86653690
Xuclà, Toni	Xuclà, Antoni	http://datos.bne.es/resource/XX1054403	http://dbpedia.org/resource/Toni_Xucl%C3%A0	http://viaf.org/viaf/86653690
Xuclà Galindo, Antonio	Xuclà, Antoni	http://datos.bne.es/resource/XX1054403	http://dbpedia.org/resource/Toni_Xucl%C3%A0	http://viaf.org/viaf/86653690
Xammar, Luis Fabio	Xammar, Luis Fabio	http://datos.bne.es/resource/XX1406395
Xokonoschtletl	Xokonoschtletl	http://datos.bne.es/resource/XX1332847
Xarles Ribas, Francesc Xavier	Xarles Ribas, Francesc Xavier	http://datos.bne.es/resource/XX1532524
Xalma, Cristina	Xalma, Cristina	http://datos.bne.es/resource/XX4610605	http://viaf.org/viaf/90650958
Xanrof, Léon	Xanrof, Léon	http://datos.bne.es/resource/XX1490694	http://viaf.org/viaf/118244541	http://d-nb.info/gnd/141142995	http://libris.kb.se/resource/auth/309492	http://dbpedia.org/resource/Leon_Xanrof
Xicola, Jaume	Xicola, Jaume	http://datos.bne.es/resource/XX1775644
Xicola Cluet, Jaume	Xicola, Jaume	http://datos.bne.es/resource/XX1775644
Xirgu, Margarita	Xirgu, Margarita	http://datos.bne.es/resource/XX979515	http://dbpedia.org/resource/Margarita_Xirgu	http://viaf.org/viaf/946068	http://d-nb.info/gnd/124429661
Xirgu Subirá, Margarita	Xirgu, Margarita	http://datos.bne.es/resource/XX979515	http://dbpedia.org/resource/Margarita_Xirgu	http://viaf.org/viaf/946068	http://d-nb.info/gnd/124429661
Xirgu Subirà, Margarida	Xirgu, Margarita	http://datos.bne.es/resource/XX979515	http://dbpedia.org/resource/Margarita_Xirgu	http://viaf.org/viaf/946068	http://d-nb.info/gnd/124429661
Xarbau, Xavier	Xarbau, Xavier	http://datos.bne.es/resource/XX1693296
Xarriton, Piarres	Xarriton, Piarres	http://datos.bne.es/resource/XX1608407
Ximénez, Raúl	Ximénez, Raúl	http://datos.bne.es/resource/XX1504112
Xingsi, Zhou	Xingsi, Zhou	http://datos.bne.es/resource/XX1791268
Xerez, Joan de	Xerez, Joan de	http://datos.bne.es/resource/XX1532633
Xiriguera, Joan Baptista	Xiriguera, Joan Baptista	http://datos.bne.es/resource/XX1497071
Xirau Icaza, Joaquín	Xirau Icaza, Joaquín	http://datos.bne.es/resource/XX1497070
Xu, Gan	Xu, Gan	http://datos.bne.es/resource/XX5253816
徐, 幹	Xu, Gan	http://datos.bne.es/resource/XX5253816
Ximénez, Andrés	Ximénez, Andrés	http://datos.bne.es/resource/XX1724846	http://viaf.org/viaf/84204552	http://viaf.org/viaf/87483329
Jiménez, Andrés	Ximénez, Andrés	http://datos.bne.es/resource/XX1724846	http://viaf.org/viaf/84204552	http://viaf.org/viaf/87483329
Xalabarder, C.	Xalabarder, C.	http://datos.bne.es/resource/XX1119779	http://viaf.org/viaf/86818148
Xalabarder Puig, Conrad	Xalabarder, C.	http://datos.bne.es/resource/XX1119779	http://viaf.org/viaf/86818148
Xenocrates Chalcedonius	Xenocrates Chalcedonius	http://datos.bne.es/resource/XX4971741	http://viaf.org/viaf/148387695
Xacur Maiza, Juan	Xacur Maiza, Juan	http://datos.bne.es/resource/XX1556358
Xuárez, Alonso	Xuárez, Alonso	http://datos.bne.es/resource/XX1799634	http://viaf.org/viaf/48875861
Suárez, Alonso	Xuárez, Alonso	http://datos.bne.es/resource/XX1799634	http://viaf.org/viaf/48875861
Juárez, Alonso	Xuárez, Alonso	http://datos.bne.es/resource/XX1799634	http://viaf.org/viaf/48875861
Juares, Alonso	Xuárez, Alonso	http://datos.bne.es/resource/XX1799634	http://viaf.org/viaf/48875861
Xochitiotzin Ortega, Citlali	Xochitiotzin Ortega, Citlali	http://datos.bne.es/resource/XX1579877
X. y Z.	X. y Z.	http://datos.bne.es/resource/XX4604567
Xiró, Buenaventura	Xiró, Buenaventura	http://datos.bne.es/resource/XX1497187
Xarrié, Mireia	Xarrié, Mireia	http://datos.bne.es/resource/XX1718167
Xirau, Ramon	Xirau, Ramon	http://datos.bne.es/resource/XX1125297	http://viaf.org/viaf/27080335	http://d-nb.info/gnd/11910718X	http://dbpedia.org/resource/Ram%C3%B3n_Xirau
Xirau Subias, Ramon	Xirau, Ramon	http://datos.bne.es/resource/XX1125297	http://viaf.org/viaf/27080335	http://d-nb.info/gnd/11910718X	http://dbpedia.org/resource/Ram%C3%B3n_Xirau
Xenakis, David	Xenakis, David	http://datos.bne.es/resource/XX1399564
Xu, Yi-bing	Xu, Yi bing	http://datos.bne.es/resource/XX4950324
Xyngopoulos, Andreas	Xyngopoulos, Andreas	http://datos.bne.es/resource/XX1763252	http://viaf.org/viaf/49268300	http://d-nb.info/gnd/124178782	http://www.idref.fr/030334802/id
Xyngopoulos, A.	Xyngopoulos, Andreas	http://datos.bne.es/resource/XX1763252	http://viaf.org/viaf/49268300	http://d-nb.info/gnd/124178782	http://www.idref.fr/030334802/id
Xovellanos, Xosefa	Xovellanos, Xosefa	http://datos.bne.es/resource/XX1179400	http://viaf.org/viaf/58916505	http://d-nb.info/gnd/1012125408
Xuárez, Fernán	Xuárez, Fernán	http://datos.bne.es/resource/XX5374678	http://viaf.org/viaf/69982774
Juárez, Fernán	Xuárez, Fernán	http://datos.bne.es/resource/XX5374678	http://viaf.org/viaf/69982774
Xuaresius, Ferdinandus	Xuárez, Fernán	http://datos.bne.es/resource/XX5374678	http://viaf.org/viaf/69982774
Xuaresio, Ferdinando	Xuárez, Fernán	http://datos.bne.es/resource/XX5374678	http://viaf.org/viaf/69982774
Xicoy Forgas, Joaquín	Xicoy Forgas, Joaquín	http://datos.bne.es/resource/XX1162505
Xhafa, Fatos	Xhafa, Fatos	http://datos.bne.es/resource/XX1173769	http://viaf.org/viaf/39204902	http://d-nb.info/gnd/136153305
Xhafa, F.	Xhafa, Fatos	http://datos.bne.es/resource/XX1173769	http://viaf.org/viaf/39204902	http://d-nb.info/gnd/136153305
X***	X***	http://datos.bne.es/resource/XX1497018
Xifra Heras, Jorge	Xifra Heras, Jorge	http://datos.bne.es/resource/XX1162509
Xevi	Xevi	http://datos.bne.es/resource/XX1012378	http://viaf.org/viaf/42516365	http://viaf.org/viaf/142597864
Sala Costa, Xavier	Xevi	http://datos.bne.es/resource/XX1012378	http://viaf.org/viaf/42516365	http://viaf.org/viaf/142597864
Sala i Costa, Xavier	Xevi	http://datos.bne.es/resource/XX1012378	http://viaf.org/viaf/42516365	http://viaf.org/viaf/142597864
Sala, Xavier 	Xevi	http://datos.bne.es/resource/XX1012378	http://viaf.org/viaf/42516365	http://viaf.org/viaf/142597864
Ximénez, Eduardo	Ximénez, Eduardo	http://datos.bne.es/resource/XX1707826	http://viaf.org/viaf/87449707
Jiménez, Eduardo	Ximénez, Eduardo	http://datos.bne.es/resource/XX1707826	http://viaf.org/viaf/87449707
Jiménez Cos, Eduardo	Ximénez, Eduardo	http://datos.bne.es/resource/XX1707826	http://viaf.org/viaf/87449707
Xifré, Joseph	Xifré, Joseph	http://datos.bne.es/resource/XX1639573
Ximénez de Embún, Joaquín	Ximénez de Embún, Joaquín	http://datos.bne.es/resource/XX1149994	http://viaf.org/viaf/86886116
Jiménez de Embún, Joaquín	Ximénez de Embún, Joaquín	http://datos.bne.es/resource/XX1149994	http://viaf.org/viaf/86886116
Ximénez de Embún y González Arnao, Joaquín	Ximénez de Embún, Joaquín	http://datos.bne.es/resource/XX1149994	http://viaf.org/viaf/86886116
Ximénez de Embún y González-Arnao, Joaquín	Ximénez de Embún, Joaquín	http://datos.bne.es/resource/XX1149994	http://viaf.org/viaf/86886116
Xandró, Mauricio	Xandró, Mauricio	http://datos.bne.es/resource/XX1719790	http://viaf.org/viaf/16101245
Xandró, M.	Xandró, Mauricio	http://datos.bne.es/resource/XX1719790	http://viaf.org/viaf/16101245
Ximénez y Hoyo, Manuel	Ximénez y Hoyo, Manuel	http://datos.bne.es/resource/XX1671877
Xamena, Francisca	Xamena, Francisca	http://datos.bne.es/resource/XX1497026
