Richard York	York, Richard (1411-1460)	http://data.bnf.fr/ark:/12148/cb12117611t#foaf:Person
York	York, Richard (1411-1460)	http://data.bnf.fr/ark:/12148/cb12117611t#foaf:Person
R York	York, Richard (1411-1460)	http://data.bnf.fr/ark:/12148/cb12117611t#foaf:Person
R. York	York, Richard (1411-1460)	http://data.bnf.fr/ark:/12148/cb12117611t#foaf:Person
M York	York, Richard (1411-1460)	http://data.bnf.fr/ark:/12148/cb12117611t#foaf:Person
M Richard York	York, Richard (1411-1460)	http://data.bnf.fr/ark:/12148/cb12117611t#foaf:Person
M. York	York, Richard (1411-1460)	http://data.bnf.fr/ark:/12148/cb12117611t#foaf:Person
M. Richard York	York, Richard (1411-1460)	http://data.bnf.fr/ark:/12148/cb12117611t#foaf:Person
Richard d'York	York, Richard (1411-1460)	http://data.bnf.fr/ark:/12148/cb12117611t#foaf:Person
M. Yvon	Yvon Villarceau, Antoine Joseph François (1813-1883)	http://data.bnf.fr/ark:/12148/cb15354788j#foaf:Person	http://dbpedia.org/resource/Antoine_Yvon_Villarceau	http://www.idref.fr/119220024
Antoine Joseph François Yvon Villarceau	Yvon Villarceau, Antoine Joseph François (1813-1883)	http://data.bnf.fr/ark:/12148/cb15354788j#foaf:Person	http://dbpedia.org/resource/Antoine_Yvon_Villarceau	http://www.idref.fr/119220024
Yvon Villarceau	Yvon Villarceau, Antoine Joseph François (1813-1883)	http://data.bnf.fr/ark:/12148/cb15354788j#foaf:Person	http://dbpedia.org/resource/Antoine_Yvon_Villarceau	http://www.idref.fr/119220024
A J F Yvon Villarceau	Yvon Villarceau, Antoine Joseph François (1813-1883)	http://data.bnf.fr/ark:/12148/cb15354788j#foaf:Person	http://dbpedia.org/resource/Antoine_Yvon_Villarceau	http://www.idref.fr/119220024
A. J. F. Yvon Villarceau	Yvon Villarceau, Antoine Joseph François (1813-1883)	http://data.bnf.fr/ark:/12148/cb15354788j#foaf:Person	http://dbpedia.org/resource/Antoine_Yvon_Villarceau	http://www.idref.fr/119220024
M Yvon Villarceau	Yvon Villarceau, Antoine Joseph François (1813-1883)	http://data.bnf.fr/ark:/12148/cb15354788j#foaf:Person	http://dbpedia.org/resource/Antoine_Yvon_Villarceau	http://www.idref.fr/119220024
M Antoine Joseph François Yvon Villarceau	Yvon Villarceau, Antoine Joseph François (1813-1883)	http://data.bnf.fr/ark:/12148/cb15354788j#foaf:Person	http://dbpedia.org/resource/Antoine_Yvon_Villarceau	http://www.idref.fr/119220024
M. Yvon Villarceau	Yvon Villarceau, Antoine Joseph François (1813-1883)	http://data.bnf.fr/ark:/12148/cb15354788j#foaf:Person	http://dbpedia.org/resource/Antoine_Yvon_Villarceau	http://www.idref.fr/119220024
M. Antoine Joseph François Yvon Villarceau	Yvon Villarceau, Antoine Joseph François (1813-1883)	http://data.bnf.fr/ark:/12148/cb15354788j#foaf:Person	http://dbpedia.org/resource/Antoine_Yvon_Villarceau	http://www.idref.fr/119220024
Martynas Yčas	Yčas, Martynas (1885-1941)	http://data.bnf.fr/ark:/12148/cb15667329c#foaf:Person
Yčas	Yčas, Martynas (1885-1941)	http://data.bnf.fr/ark:/12148/cb15667329c#foaf:Person
M Yčas	Yčas, Martynas (1885-1941)	http://data.bnf.fr/ark:/12148/cb15667329c#foaf:Person
M. Yčas	Yčas, Martynas (1885-1941)	http://data.bnf.fr/ark:/12148/cb15667329c#foaf:Person
M Yčas	Yčas, Martynas (1885-1941)	http://data.bnf.fr/ark:/12148/cb15667329c#foaf:Person
M Martynas Yčas	Yčas, Martynas (1885-1941)	http://data.bnf.fr/ark:/12148/cb15667329c#foaf:Person
M. Yčas	Yčas, Martynas (1885-1941)	http://data.bnf.fr/ark:/12148/cb15667329c#foaf:Person
M. Martynas Yčas	Yčas, Martynas (1885-1941)	http://data.bnf.fr/ark:/12148/cb15667329c#foaf:Person
Maurice Yvain	Yvain, Maurice (1891-1965)	http://data.bnf.fr/ark:/12148/cb13901365s#foaf:Person	http://dbpedia.org/resource/Maurice_Yvain	http://www.idref.fr/084279265
Yvain	Yvain, Maurice (1891-1965)	http://data.bnf.fr/ark:/12148/cb13901365s#foaf:Person	http://dbpedia.org/resource/Maurice_Yvain	http://www.idref.fr/084279265
M Yvain	Yvain, Maurice (1891-1965)	http://data.bnf.fr/ark:/12148/cb13901365s#foaf:Person	http://dbpedia.org/resource/Maurice_Yvain	http://www.idref.fr/084279265
M. Yvain	Yvain, Maurice (1891-1965)	http://data.bnf.fr/ark:/12148/cb13901365s#foaf:Person	http://dbpedia.org/resource/Maurice_Yvain	http://www.idref.fr/084279265
M Yvain	Yvain, Maurice (1891-1965)	http://data.bnf.fr/ark:/12148/cb13901365s#foaf:Person	http://dbpedia.org/resource/Maurice_Yvain	http://www.idref.fr/084279265
M Maurice Yvain	Yvain, Maurice (1891-1965)	http://data.bnf.fr/ark:/12148/cb13901365s#foaf:Person	http://dbpedia.org/resource/Maurice_Yvain	http://www.idref.fr/084279265
M. Yvain	Yvain, Maurice (1891-1965)	http://data.bnf.fr/ark:/12148/cb13901365s#foaf:Person	http://dbpedia.org/resource/Maurice_Yvain	http://www.idref.fr/084279265
M. Maurice Yvain	Yvain, Maurice (1891-1965)	http://data.bnf.fr/ark:/12148/cb13901365s#foaf:Person	http://dbpedia.org/resource/Maurice_Yvain	http://www.idref.fr/084279265
Jean-Marie Le Quéau	Yvon, (1888-1955)	http://data.bnf.fr/ark:/12148/cb120822709#foaf:Person	http://www.idref.fr/029133505
 Yvon	Yvon, (1888-1955)	http://data.bnf.fr/ark:/12148/cb120822709#foaf:Person	http://www.idref.fr/029133505
Yvon	Yvon, (1888-1955)	http://data.bnf.fr/ark:/12148/cb120822709#foaf:Person	http://www.idref.fr/029133505
 Yvon	Yvon, (1888-1955)	http://data.bnf.fr/ark:/12148/cb120822709#foaf:Person	http://www.idref.fr/029133505
. Yvon	Yvon, (1888-1955)	http://data.bnf.fr/ark:/12148/cb120822709#foaf:Person	http://www.idref.fr/029133505
M Yvon	Yvon, (1888-1955)	http://data.bnf.fr/ark:/12148/cb120822709#foaf:Person	http://www.idref.fr/029133505
M  Yvon	Yvon, (1888-1955)	http://data.bnf.fr/ark:/12148/cb120822709#foaf:Person	http://www.idref.fr/029133505
M. Yvon	Yvon, (1888-1955)	http://data.bnf.fr/ark:/12148/cb120822709#foaf:Person	http://www.idref.fr/029133505
M.  Yvon	Yvon, (1888-1955)	http://data.bnf.fr/ark:/12148/cb120822709#foaf:Person	http://www.idref.fr/029133505
Yvon de Guenguat	Yvon, (1888-1955)	http://data.bnf.fr/ark:/12148/cb120822709#foaf:Person	http://www.idref.fr/029133505
Wengui Yan	Yan, Wengui	http://data.bnf.fr/ark:/12148/cb14584131r#foaf:Person
Yan	Yan, Wengui	http://data.bnf.fr/ark:/12148/cb14584131r#foaf:Person
W Yan	Yan, Wengui	http://data.bnf.fr/ark:/12148/cb14584131r#foaf:Person
W. Yan	Yan, Wengui	http://data.bnf.fr/ark:/12148/cb14584131r#foaf:Person
M Yan	Yan, Wengui	http://data.bnf.fr/ark:/12148/cb14584131r#foaf:Person
M Wengui Yan	Yan, Wengui	http://data.bnf.fr/ark:/12148/cb14584131r#foaf:Person
M. Yan	Yan, Wengui	http://data.bnf.fr/ark:/12148/cb14584131r#foaf:Person
M. Wengui Yan	Yan, Wengui	http://data.bnf.fr/ark:/12148/cb14584131r#foaf:Person
Roland Young	Young, Roland (1887-1953)	http://data.bnf.fr/ark:/12148/cb13946283g#foaf:Person	http://dbpedia.org/resource/Roland_Young
Young	Young, Roland (1887-1953)	http://data.bnf.fr/ark:/12148/cb13946283g#foaf:Person	http://dbpedia.org/resource/Roland_Young
R Young	Young, Roland (1887-1953)	http://data.bnf.fr/ark:/12148/cb13946283g#foaf:Person	http://dbpedia.org/resource/Roland_Young
R. Young	Young, Roland (1887-1953)	http://data.bnf.fr/ark:/12148/cb13946283g#foaf:Person	http://dbpedia.org/resource/Roland_Young
M Young	Young, Roland (1887-1953)	http://data.bnf.fr/ark:/12148/cb13946283g#foaf:Person	http://dbpedia.org/resource/Roland_Young
M Roland Young	Young, Roland (1887-1953)	http://data.bnf.fr/ark:/12148/cb13946283g#foaf:Person	http://dbpedia.org/resource/Roland_Young
M. Young	Young, Roland (1887-1953)	http://data.bnf.fr/ark:/12148/cb13946283g#foaf:Person	http://dbpedia.org/resource/Roland_Young
