A. Xainctonge	Xainctonge, Anne de (1567-1621)	http://data.bnf.fr/ark:/12148/cb13554857m#foaf:Person	http://www.idref.fr/050814192
A de Xainctonge	Xainctonge, Anne de (1567-1621)	http://data.bnf.fr/ark:/12148/cb13554857m#foaf:Person	http://www.idref.fr/050814192
A De Xainctonge	Xainctonge, Anne de (1567-1621)	http://data.bnf.fr/ark:/12148/cb13554857m#foaf:Person	http://www.idref.fr/050814192
A. De Xainctonge	Xainctonge, Anne de (1567-1621)	http://data.bnf.fr/ark:/12148/cb13554857m#foaf:Person	http://www.idref.fr/050814192
A. de Xainctonge	Xainctonge, Anne de (1567-1621)	http://data.bnf.fr/ark:/12148/cb13554857m#foaf:Person	http://www.idref.fr/050814192
M de Xainctonge	Xainctonge, Anne de (1567-1621)	http://data.bnf.fr/ark:/12148/cb13554857m#foaf:Person	http://www.idref.fr/050814192
M Xainctonge	Xainctonge, Anne de (1567-1621)	http://data.bnf.fr/ark:/12148/cb13554857m#foaf:Person	http://www.idref.fr/050814192
M Xainctonge	Xainctonge, Anne de (1567-1621)	http://data.bnf.fr/ark:/12148/cb13554857m#foaf:Person	http://www.idref.fr/050814192
M Anne de Xainctonge	Xainctonge, Anne de (1567-1621)	http://data.bnf.fr/ark:/12148/cb13554857m#foaf:Person	http://www.idref.fr/050814192
M. Xainctonge	Xainctonge, Anne de (1567-1621)	http://data.bnf.fr/ark:/12148/cb13554857m#foaf:Person	http://www.idref.fr/050814192
M. Anne de Xainctonge	Xainctonge, Anne de (1567-1621)	http://data.bnf.fr/ark:/12148/cb13554857m#foaf:Person	http://www.idref.fr/050814192
Augustin Ximenez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
Augustin Louis de Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
de Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
De Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
A L Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
A. L. Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
A L de Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
A L De Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
A. L. De Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
A. L. de Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
M de Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
M Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
M Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
M Augustin Louis de Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
M. Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
M. Augustin Louis de Ximénez	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
Mademoiselle d' Ol	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
Augustin de Chimène	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
Augustin-Louis de Ximénez-Texada	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
Augustin-Louis de Ximénés	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
M. de	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
M. le M. de C.	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
Augustin-Louis de Ximénez- Texada	Ximénez, Augustin Louis de (1728-1817)	http://data.bnf.fr/ark:/12148/cb12002639m#foaf:Person	http://www.idref.fr/072244348
Zhao Ming	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
Tong Xiao	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
Xiao	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
T Xiao	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
T. Xiao	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
M Xiao	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
M Tong Xiao	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
M. Xiao	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
M. Tong Xiao	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
统 萧	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
Zhaoming taizi	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
Xiao Tong	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
Zhao Ming tai zi	Xiao, Tong	http://data.bnf.fr/ark:/12148/cb146499754#foaf:Person	http://www.idref.fr/076528987	http://dbpedia.org/resource/Xiao_Tong
Bartomeu F. Maria Xiberta y Roberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
Bartomeu Maria Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
B M Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
B. M. Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
M Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
M Bartomeu Maria Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
M. Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
M. Bartomeu Maria Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
Bartolomeo M. Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
Baudilio Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
Bartholomeus Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
Bartomeu F. Maria Xiberta y Roqueta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
Bartolomé Fanti Xiberta	Xiberta, Bartomeu Maria (1897-1967)	http://data.bnf.fr/ark:/12148/cb12975914t#foaf:Person	http://www.idref.fr/100526608
Young-kia Hiuan-tsiue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
 Xuan jue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Xuan jue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
 Xuan jue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
. Xuan jue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
M Xuan jue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
M  Xuan jue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
M. Xuan jue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
M.  Xuan jue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
玄覺	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Yongjia Xuanjue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Hiuan-kio	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Siuan kiue	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Xuan jue chan shi	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
Yong jia chan shi	Xuan jue, 	http://data.bnf.fr/ark:/12148/cb11907575t#foaf:Person	http://www.idref.fr/026922819
