Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
M Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
M Léon Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
L Uhl	Uhl, Léon (1889--)	http://data.bnf.fr/ark:/12148/cb10194462t#foaf:Person
M. Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
M Ayodhyāsiṃha Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
M. Ayodhyāsiṃha Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
Ayodhyāsiṃha Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
M Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
A Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
A. Upādhyāya	Upādhyāya, Ayodhyāsiṃha (1865-1947)	http://data.bnf.fr/ark:/12148/cb13512500h#foaf:Person	http://www.idref.fr/050406116
M Ubaldi	Ubaldi, Paolo (1872-1934)	http://data.bnf.fr/ark:/12148/cb106647172#foaf:Person
P. Ubaldi	Ubaldi, Paolo (1872-1934)	http://data.bnf.fr/ark:/12148/cb106647172#foaf:Person
Ubaldi	Ubaldi, Paolo (1872-1934)	http://data.bnf.fr/ark:/12148/cb106647172#foaf:Person
Paolo Ubaldi	Ubaldi, Paolo (1872-1934)	http://data.bnf.fr/ark:/12148/cb106647172#foaf:Person
P Ubaldi	Ubaldi, Paolo (1872-1934)	http://data.bnf.fr/ark:/12148/cb106647172#foaf:Person
M. Ubaldi	Ubaldi, Paolo (1872-1934)	http://data.bnf.fr/ark:/12148/cb106647172#foaf:Person
M Paolo Ubaldi	Ubaldi, Paolo (1872-1934)	http://data.bnf.fr/ark:/12148/cb106647172#foaf:Person
M. Paolo Ubaldi	Ubaldi, Paolo (1872-1934)	http://data.bnf.fr/ark:/12148/cb106647172#foaf:Person
M Théodore Ungerer	Ungerer, Théodore (1894-1935)	http://data.bnf.fr/ark:/12148/cb14409210f#foaf:Person	http://www.idref.fr/061412155
M. Ungerer	Ungerer, Théodore (1894-1935)	http://data.bnf.fr/ark:/12148/cb14409210f#foaf:Person	http://www.idref.fr/061412155
Théodore Ungerer	Ungerer, Théodore (1894-1935)	http://data.bnf.fr/ark:/12148/cb14409210f#foaf:Person	http://www.idref.fr/061412155
T Ungerer	Ungerer, Théodore (1894-1935)	http://data.bnf.fr/ark:/12148/cb14409210f#foaf:Person	http://www.idref.fr/061412155
M. Théodore Ungerer	Ungerer, Théodore (1894-1935)	http://data.bnf.fr/ark:/12148/cb14409210f#foaf:Person	http://www.idref.fr/061412155
Ungerer	Ungerer, Théodore (1894-1935)	http://data.bnf.fr/ark:/12148/cb14409210f#foaf:Person	http://www.idref.fr/061412155
M Ungerer	Ungerer, Théodore (1894-1935)	http://data.bnf.fr/ark:/12148/cb14409210f#foaf:Person	http://www.idref.fr/061412155
T. Ungerer	Ungerer, Théodore (1894-1935)	http://data.bnf.fr/ark:/12148/cb14409210f#foaf:Person	http://www.idref.fr/061412155
Latife Hanım	Uşşaki, Latife (1898-1975)	http://data.bnf.fr/ark:/12148/cb15774304p#foaf:Person
L Uşşaki	Uşşaki, Latife (1898-1975)	http://data.bnf.fr/ark:/12148/cb15774304p#foaf:Person
Mme Uşşaki	Uşşaki, Latife (1898-1975)	http://data.bnf.fr/ark:/12148/cb15774304p#foaf:Person
Mme Latife Uşşaki	Uşşaki, Latife (1898-1975)	http://data.bnf.fr/ark:/12148/cb15774304p#foaf:Person
Mme. Latife Uşşaki	Uşşaki, Latife (1898-1975)	http://data.bnf.fr/ark:/12148/cb15774304p#foaf:Person
Uşşaki	Uşşaki, Latife (1898-1975)	http://data.bnf.fr/ark:/12148/cb15774304p#foaf:Person
L. Uşşaki	Uşşaki, Latife (1898-1975)	http://data.bnf.fr/ark:/12148/cb15774304p#foaf:Person
Latife Uşşaki	Uşşaki, Latife (1898-1975)	http://data.bnf.fr/ark:/12148/cb15774304p#foaf:Person
Mme. Uşşaki	Uşşaki, Latife (1898-1975)	http://data.bnf.fr/ark:/12148/cb15774304p#foaf:Person
Uchida Kosai	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
K. Uchida	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
M. Kōsai Uchida	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
Uchida	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
Kōsai Uchida	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
M. Uchida	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
M Kōsai Uchida	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
M Uchida	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
K Uchida	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
Kosai Unchida	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
Uchida Kousai	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
Kousai Uchida	Uchida, Kōsai (1865-1936)	http://data.bnf.fr/ark:/12148/cb167195975#foaf:Person
Franz Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
M. Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
F. von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
M Franz von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
F. Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
M. Von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
M. Franz von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
Franz von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
F Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
M von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
M Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
F Von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
F von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
Von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
F. Von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
M Von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
M. von Unger	Unger, Franz von (1800-1870)	http://data.bnf.fr/ark:/12148/cb131644095#foaf:Person	http://dbpedia.org/resource/Franz_Unger	http://www.idref.fr/034897674
W Uebele	Uebele, Wilhelm (1868--)	http://data.bnf.fr/ark:/12148/cb10379921r#foaf:Person
Wilhelm Uebele	Uebele, Wilhelm (1868--)	http://data.bnf.fr/ark:/12148/cb10379921r#foaf:Person
M Uebele	Uebele, Wilhelm (1868--)	http://data.bnf.fr/ark:/12148/cb10379921r#foaf:Person
Uebele	Uebele, Wilhelm (1868--)	http://data.bnf.fr/ark:/12148/cb10379921r#foaf:Person
M. Uebele	Uebele, Wilhelm (1868--)	http://data.bnf.fr/ark:/12148/cb10379921r#foaf:Person
M. Wilhelm Uebele	Uebele, Wilhelm (1868--)	http://data.bnf.fr/ark:/12148/cb10379921r#foaf:Person
M Wilhelm Uebele	Uebele, Wilhelm (1868--)	http://data.bnf.fr/ark:/12148/cb10379921r#foaf:Person
W. Uebele	Uebele, Wilhelm (1868--)	http://data.bnf.fr/ark:/12148/cb10379921r#foaf:Person
Thiébaut	Ubald (1085-1160)	http://data.bnf.fr/ark:/12148/cb12156742z#foaf:Person	http://www.idref.fr/113667612
Ubald	Ubald (1085-1160)	http://data.bnf.fr/ark:/12148/cb12156742z#foaf:Person	http://www.idref.fr/113667612
M. Ubald	Ubald (1085-1160)	http://data.bnf.fr/ark:/12148/cb12156742z#foaf:Person	http://www.idref.fr/113667612
M Ubald	Ubald (1085-1160)	http://data.bnf.fr/ark:/12148/cb12156742z#foaf:Person	http://www.idref.fr/113667612
Ubald Baldassini	Ubald (1085-1160)	http://data.bnf.fr/ark:/12148/cb12156742z#foaf:Person	http://www.idref.fr/113667612
Ubaldo	Ubald (1085-1160)	http://data.bnf.fr/ark:/12148/cb12156742z#foaf:Person	http://www.idref.fr/113667612
Ubaldo da Gubbio	Ubald (1085-1160)	http://data.bnf.fr/ark:/12148/cb12156742z#foaf:Person	http://www.idref.fr/113667612
Ubaldo di Sebastiano da Gubbio	Ubald (1085-1160)	http://data.bnf.fr/ark:/12148/cb12156742z#foaf:Person	http://www.idref.fr/113667612
Ubaldus Bastiani de Eugubio	Ubald (1085-1160)	http://data.bnf.fr/ark:/12148/cb12156742z#foaf:Person	http://www.idref.fr/113667612
A Ursault	Ursault, André (1894-1971)	http://data.bnf.fr/ark:/12148/cb12080539h#foaf:Person
M. André Ursault	Ursault, André (1894-1971)	http://data.bnf.fr/ark:/12148/cb12080539h#foaf:Person
M. Ursault	Ursault, André (1894-1971)	http://data.bnf.fr/ark:/12148/cb12080539h#foaf:Person
M Ursault	Ursault, André (1894-1971)	http://data.bnf.fr/ark:/12148/cb12080539h#foaf:Person
M André Ursault	Ursault, André (1894-1971)	http://data.bnf.fr/ark:/12148/cb12080539h#foaf:Person
A. Ursault	Ursault, André (1894-1971)	http://data.bnf.fr/ark:/12148/cb12080539h#foaf:Person
Ursault	Ursault, André (1894-1971)	http://data.bnf.fr/ark:/12148/cb12080539h#foaf:Person
André Ursault	Ursault, André (1894-1971)	http://data.bnf.fr/ark:/12148/cb12080539h#foaf:Person
M D' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
M. D' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
P. d' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
M. Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
D' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
d' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
P. Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
P. D' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
P Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
M Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
P D' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
P d' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
M. Pierre d' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
M d' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
M. d' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
Pierre d' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
M Pierre d' Urte	Urte, Pierre d' (1644-1725)	http://data.bnf.fr/ark:/12148/cb10611117n#foaf:Person
M Jakob von Uexküll	Uexküll, Jakob von (1864-1944)	http://data.bnf.fr/ark:/12148/cb12446722n#foaf:Person	http://dbpedia.org/resource/Jakob_von_Uexküll	http://www.idref.fr/03361766X
