Aḥmad ibn Fāris ibn Zakarīyā  al-Qazwīnī al-Rāzī Abū al-Ḥusayn	Ibn Fāris, Aḥmad al Qazwīnī al Rāzī Abū al Ḥusayn	http://data.bnf.fr/ark:/12148/cb124402413#foaf:Person	http://www.idref.fr/033545006
Giles Stephen Holland Fox-Strangways Stavordale	Ilchester, Giles Stephen Holland Fox Strangways (1874-1959)	http://data.bnf.fr/ark:/12148/cb122276089#foaf:Person	http://www.idref.fr/079284620
M. Ilchester	Ilchester, Giles Stephen Holland Fox Strangways (1874-1959)	http://data.bnf.fr/ark:/12148/cb122276089#foaf:Person	http://www.idref.fr/079284620
G. S. H. F. S. Ilchester	Ilchester, Giles Stephen Holland Fox Strangways (1874-1959)	http://data.bnf.fr/ark:/12148/cb122276089#foaf:Person	http://www.idref.fr/079284620
Ilchester	Ilchester, Giles Stephen Holland Fox Strangways (1874-1959)	http://data.bnf.fr/ark:/12148/cb122276089#foaf:Person	http://www.idref.fr/079284620
Giles Stephen Holland Fox Strangways Ilchester	Ilchester, Giles Stephen Holland Fox Strangways (1874-1959)	http://data.bnf.fr/ark:/12148/cb122276089#foaf:Person	http://www.idref.fr/079284620
G S H F S Ilchester	Ilchester, Giles Stephen Holland Fox Strangways (1874-1959)	http://data.bnf.fr/ark:/12148/cb122276089#foaf:Person	http://www.idref.fr/079284620
M. Giles Stephen Holland Fox Strangways Ilchester	Ilchester, Giles Stephen Holland Fox Strangways (1874-1959)	http://data.bnf.fr/ark:/12148/cb122276089#foaf:Person	http://www.idref.fr/079284620
M Ilchester	Ilchester, Giles Stephen Holland Fox Strangways (1874-1959)	http://data.bnf.fr/ark:/12148/cb122276089#foaf:Person	http://www.idref.fr/079284620
M Giles Stephen Holland Fox Strangways Ilchester	Ilchester, Giles Stephen Holland Fox Strangways (1874-1959)	http://data.bnf.fr/ark:/12148/cb122276089#foaf:Person	http://www.idref.fr/079284620
Giles Fox-Strangways	Ilchester, Giles Stephen Holland Fox Strangways (1874-1959)	http://data.bnf.fr/ark:/12148/cb122276089#foaf:Person	http://www.idref.fr/079284620
