Naser-al-Din	Ṭōsī, Moḥamad ben Moḥamad Naṣīr al Dīn (1201-1274)	http://data.bnf.fr/ark:/12148/cb12399386c#foaf:Person	http://dbpedia.org/resource/Nasir_ad-Din_at-Tusi	http://www.idref.fr/050434039
Nasîroddin Tûsi	Ṭōsī, Moḥamad ben Moḥamad Naṣīr al Dīn (1201-1274)	http://data.bnf.fr/ark:/12148/cb12399386c#foaf:Person	http://dbpedia.org/resource/Nasir_ad-Din_at-Tusi	http://www.idref.fr/050434039
Muhammad ibn Muhammad Tusi Nasir-al-Din	Ṭōsī, Moḥamad ben Moḥamad Naṣīr al Dīn (1201-1274)	http://data.bnf.fr/ark:/12148/cb12399386c#foaf:Person	http://dbpedia.org/resource/Nasir_ad-Din_at-Tusi	http://www.idref.fr/050434039
Nasr ed Dīn al Tousī	Ṭōsī, Moḥamad ben Moḥamad Naṣīr al Dīn (1201-1274)	http://data.bnf.fr/ark:/12148/cb12399386c#foaf:Person	http://dbpedia.org/resource/Nasir_ad-Din_at-Tusi	http://www.idref.fr/050434039
Nasir-al-Din	Ṭōsī, Moḥamad ben Moḥamad Naṣīr al Dīn (1201-1274)	http://data.bnf.fr/ark:/12148/cb12399386c#foaf:Person	http://dbpedia.org/resource/Nasir_ad-Din_at-Tusi	http://www.idref.fr/050434039
Nasiriddinus Tusinus	Ṭōsī, Moḥamad ben Moḥamad Naṣīr al Dīn (1201-1274)	http://data.bnf.fr/ark:/12148/cb12399386c#foaf:Person	http://dbpedia.org/resource/Nasir_ad-Din_at-Tusi	http://www.idref.fr/050434039
Moḥammad ibn Moḥammad Naṣīr al Dīn Ṭousī	Ṭōsī, Moḥamad ben Moḥamad Naṣīr al Dīn (1201-1274)	http://data.bnf.fr/ark:/12148/cb12399386c#foaf:Person	http://dbpedia.org/resource/Nasir_ad-Din_at-Tusi	http://www.idref.fr/050434039
Nassiruddin-el-Toussy	Ṭōsī, Moḥamad ben Moḥamad Naṣīr al Dīn (1201-1274)	http://data.bnf.fr/ark:/12148/cb12399386c#foaf:Person	http://dbpedia.org/resource/Nasir_ad-Din_at-Tusi	http://www.idref.fr/050434039
Mohammad ibn Moḥammad Nas̡īr al-Dīn al-Tousi	Ṭōsī, Moḥamad ben Moḥamad Naṣīr al Dīn (1201-1274)	http://data.bnf.fr/ark:/12148/cb12399386c#foaf:Person	http://dbpedia.org/resource/Nasir_ad-Din_at-Tusi	http://www.idref.fr/050434039
Nâṣir ed Dîn Ṭousi	Ṭōsī, Moḥamad ben Moḥamad Naṣīr al Dīn (1201-1274)	http://data.bnf.fr/ark:/12148/cb12399386c#foaf:Person	http://dbpedia.org/resource/Nasir_ad-Din_at-Tusi	http://www.idref.fr/050434039
