M. Guillaume de Nautonier	Nautonier, Guillaume de (1557-1620)	http://data.bnf.fr/ark:/12148/cb12412403z#foaf:Person	http://www.idref.fr/033237360
Sieur de Castelfranc	Nautonier, Guillaume de (1557-1620)	http://data.bnf.fr/ark:/12148/cb12412403z#foaf:Person	http://www.idref.fr/033237360
Guillaume Le Nautonier	Nautonier, Guillaume de (1557-1620)	http://data.bnf.fr/ark:/12148/cb12412403z#foaf:Person	http://www.idref.fr/033237360
Moustapha Nahas Pacha	Naḥḥās, Muṣṭafá al (1876-1965)	http://data.bnf.fr/ark:/12148/cb16006938m#foaf:Person	http://dbpedia.org/resource/Moustapha_el-Nahhas_Pacha
Muṣṭafá al Naḥḥās	Naḥḥās, Muṣṭafá al (1876-1965)	http://data.bnf.fr/ark:/12148/cb16006938m#foaf:Person	http://dbpedia.org/resource/Moustapha_el-Nahhas_Pacha
Naḥḥās	Naḥḥās, Muṣṭafá al (1876-1965)	http://data.bnf.fr/ark:/12148/cb16006938m#foaf:Person	http://dbpedia.org/resource/Moustapha_el-Nahhas_Pacha
M Naḥḥās	Naḥḥās, Muṣṭafá al (1876-1965)	http://data.bnf.fr/ark:/12148/cb16006938m#foaf:Person	http://dbpedia.org/resource/Moustapha_el-Nahhas_Pacha
M. Naḥḥās	Naḥḥās, Muṣṭafá al (1876-1965)	http://data.bnf.fr/ark:/12148/cb16006938m#foaf:Person	http://dbpedia.org/resource/Moustapha_el-Nahhas_Pacha
M Naḥḥās	Naḥḥās, Muṣṭafá al (1876-1965)	http://data.bnf.fr/ark:/12148/cb16006938m#foaf:Person	http://dbpedia.org/resource/Moustapha_el-Nahhas_Pacha
M Muṣṭafá al Naḥḥās	Naḥḥās, Muṣṭafá al (1876-1965)	http://data.bnf.fr/ark:/12148/cb16006938m#foaf:Person	http://dbpedia.org/resource/Moustapha_el-Nahhas_Pacha
M. Naḥḥās	Naḥḥās, Muṣṭafá al (1876-1965)	http://data.bnf.fr/ark:/12148/cb16006938m#foaf:Person	http://dbpedia.org/resource/Moustapha_el-Nahhas_Pacha
M. Muṣṭafá al Naḥḥās	Naḥḥās, Muṣṭafá al (1876-1965)	http://data.bnf.fr/ark:/12148/cb16006938m#foaf:Person	http://dbpedia.org/resource/Moustapha_el-Nahhas_Pacha
George Rapall Noyes	Noyes, George Rapall (1873-1952)	http://data.bnf.fr/ark:/12148/cb12386784v#foaf:Person	http://www.idref.fr/067026249
Noyes	Noyes, George Rapall (1873-1952)	http://data.bnf.fr/ark:/12148/cb12386784v#foaf:Person	http://www.idref.fr/067026249
G R Noyes	Noyes, George Rapall (1873-1952)	http://data.bnf.fr/ark:/12148/cb12386784v#foaf:Person	http://www.idref.fr/067026249
G. R. Noyes	Noyes, George Rapall (1873-1952)	http://data.bnf.fr/ark:/12148/cb12386784v#foaf:Person	http://www.idref.fr/067026249
M Noyes	Noyes, George Rapall (1873-1952)	http://data.bnf.fr/ark:/12148/cb12386784v#foaf:Person	http://www.idref.fr/067026249
M George Rapall Noyes	Noyes, George Rapall (1873-1952)	http://data.bnf.fr/ark:/12148/cb12386784v#foaf:Person	http://www.idref.fr/067026249
M. Noyes	Noyes, George Rapall (1873-1952)	http://data.bnf.fr/ark:/12148/cb12386784v#foaf:Person	http://www.idref.fr/067026249
M. George Rapall Noyes	Noyes, George Rapall (1873-1952)	http://data.bnf.fr/ark:/12148/cb12386784v#foaf:Person	http://www.idref.fr/067026249
Johannes Neander	Neander, Johannes (1596-1630)	http://data.bnf.fr/ark:/12148/cb140647078#foaf:Person	http://www.idref.fr/162034830
Neander	Neander, Johannes (1596-1630)	http://data.bnf.fr/ark:/12148/cb140647078#foaf:Person	http://www.idref.fr/162034830
J Neander	Neander, Johannes (1596-1630)	http://data.bnf.fr/ark:/12148/cb140647078#foaf:Person	http://www.idref.fr/162034830
J. Neander	Neander, Johannes (1596-1630)	http://data.bnf.fr/ark:/12148/cb140647078#foaf:Person	http://www.idref.fr/162034830
M Neander	Neander, Johannes (1596-1630)	http://data.bnf.fr/ark:/12148/cb140647078#foaf:Person	http://www.idref.fr/162034830
M Johannes Neander	Neander, Johannes (1596-1630)	http://data.bnf.fr/ark:/12148/cb140647078#foaf:Person	http://www.idref.fr/162034830
M. Neander	Neander, Johannes (1596-1630)	http://data.bnf.fr/ark:/12148/cb140647078#foaf:Person	http://www.idref.fr/162034830
M. Johannes Neander	Neander, Johannes (1596-1630)	http://data.bnf.fr/ark:/12148/cb140647078#foaf:Person	http://www.idref.fr/162034830
Georges Mugin	Norge, (1898-1990)	http://data.bnf.fr/ark:/12148/cb118871218#foaf:Person	http://www.idref.fr/02666612X
