Barry Maguire	Barry Maguire	http://fr.dbpedia.org/resource/Barry_Maguire	http://dbpedia.org/resource/Barry_Maguire
Birger Federley	Birger Federley	http://fr.dbpedia.org/resource/Birger_Federley
Banksy	Banksy	http://fr.dbpedia.org/resource/Banksy	http://dbpedia.org/resource/Banksy
Bansky	Banksy	http://fr.dbpedia.org/resource/Banksy	http://dbpedia.org/resource/Banksy
Boss Hogg	Boss Hogg	http://fr.dbpedia.org/resource/Boss_Hogg	http://dbpedia.org/resource/Boss_Hogg
Bernard Meretyn	Bernard Meretyn	http://fr.dbpedia.org/resource/Bernard_Meretyn	http://dbpedia.org/resource/Bernard_Meretyn
Bruno Chizzo	Bruno Chizzo	http://fr.dbpedia.org/resource/Bruno_Chizzo	http://dbpedia.org/resource/Bruno_Chizzo
Bernard Maligorne	Bernard Maligorne	http://fr.dbpedia.org/resource/Bernard_Maligorne
Béatrice Vialle	Béatrice Vialle	http://fr.dbpedia.org/resource/Béatrice_Vialle	http://dbpedia.org/resource/Béatrice_Vialle
Balthamel	Balthamel	http://fr.dbpedia.org/resource/Balthamel
Bobby Trapp	Bobby Trapp	http://fr.dbpedia.org/resource/Bobby_Trapp	http://dbpedia.org/resource/Bobby_Trapp
Bill Evans (saxophoniste)	Bill Evans (saxophoniste)	http://fr.dbpedia.org/resource/Bill_Evans_(saxophoniste)	http://dbpedia.org/resource/Bill_Evans_(saxophonist)
Bill Evans	Bill Evans (saxophoniste)	http://fr.dbpedia.org/resource/Bill_Evans_(saxophoniste)	http://dbpedia.org/resource/Bill_Evans_(saxophonist)
Bill evans	Bill Evans (saxophoniste)	http://fr.dbpedia.org/resource/Bill_Evans_(saxophoniste)	http://dbpedia.org/resource/Bill_Evans_(saxophonist)
Barry Brust	Barry Brust	http://fr.dbpedia.org/resource/Barry_Brust	http://dbpedia.org/resource/Barry_Brust
Buck Showalter	Buck Showalter	http://fr.dbpedia.org/resource/Buck_Showalter	http://dbpedia.org/resource/Buck_Showalter
Benoît Bréville	Benoît Bréville	http://fr.dbpedia.org/resource/Benoît_Bréville
Bonzi Wells	Bonzi Wells	http://fr.dbpedia.org/resource/Bonzi_Wells	http://dbpedia.org/resource/Bonzi_Wells
Błażej Augustyn	Błażej Augustyn	http://fr.dbpedia.org/resource/Błażej_Augustyn	http://dbpedia.org/resource/Błażej_Augustyn
Blazej Augustyn	Błażej Augustyn	http://fr.dbpedia.org/resource/Błażej_Augustyn	http://dbpedia.org/resource/Błażej_Augustyn
Barbara Hershey	Barbara Hershey	http://fr.dbpedia.org/resource/Barbara_Hershey	http://dbpedia.org/resource/Barbara_Hershey
Betty-Ann Stuart	Betty Ann Stuart	http://fr.dbpedia.org/resource/Betty-Ann_Stuart	http://dbpedia.org/resource/Betty_Ann_Grubb_Stuart
Betty-Ann Grubb	Betty Ann Stuart	http://fr.dbpedia.org/resource/Betty-Ann_Stuart	http://dbpedia.org/resource/Betty_Ann_Grubb_Stuart
Betty Ann Stuart	Betty Ann Stuart	http://fr.dbpedia.org/resource/Betty-Ann_Stuart	http://dbpedia.org/resource/Betty_Ann_Grubb_Stuart
Bernard Coulon	Bernard Coulon	http://fr.dbpedia.org/resource/Bernard_Coulon
Brigitte Köck	Brigitte Köck	http://fr.dbpedia.org/resource/Brigitte_Köck	http://dbpedia.org/resource/Brigitte_Köck
Bertrand Bouvier	Bertrand Bouvier	http://fr.dbpedia.org/resource/Bertrand_Bouvier
Bettany Hughes	Bettany Hughes	http://fr.dbpedia.org/resource/Bettany_Hughes	http://dbpedia.org/resource/Bettany_Hughes
Bruno Vennin	Bruno Vennin	http://fr.dbpedia.org/resource/Bruno_Vennin
Bernard Mayot	Bernard Mayot	http://fr.dbpedia.org/resource/Bernard_Mayot
Bertrand Itsweire	Bertrand Itsweire	http://fr.dbpedia.org/resource/Bertrand_Itsweire
