Peter Wheeler	Peter Wheeler	http://fr.dbpedia.org/resource/Peter_Wheeler	http://dbpedia.org/resource/Peter_Wheeler_(rugby_union)
Pierre Luccin	Pierre Luccin	http://fr.dbpedia.org/resource/Pierre_Luccin
Paul Havrez	Paul Havrez	http://fr.dbpedia.org/resource/Paul_Havrez
Povia	Povia	http://fr.dbpedia.org/resource/Povia	http://dbpedia.org/resource/Giuseppe_Povia
Park Yong-ho	Park Yong ho	http://fr.dbpedia.org/resource/Park_Yong-ho	http://dbpedia.org/resource/Park_Yong-ho
Pierre-Valéry Archassal	Pierre Valéry Archassal	http://fr.dbpedia.org/resource/Pierre-Valéry_Archassal
Pierre-Valery Archassal	Pierre Valéry Archassal	http://fr.dbpedia.org/resource/Pierre-Valéry_Archassal
Patrick Wilson (musique)	Patrick Wilson (musique)	http://fr.dbpedia.org/resource/Patrick_Wilson_(musique)	http://dbpedia.org/resource/Patrick_Wilson_(musician)
Patrick wilson	Patrick Wilson (musique)	http://fr.dbpedia.org/resource/Patrick_Wilson_(musique)	http://dbpedia.org/resource/Patrick_Wilson_(musician)
Philippe Brissaud	Philippe Brissaud	http://fr.dbpedia.org/resource/Philippe_Brissaud
Peter Carsten	Peter Carsten	http://fr.dbpedia.org/resource/Peter_Carsten	http://dbpedia.org/resource/Peter_Carsten
Philippe Darniche	Philippe Darniche	http://fr.dbpedia.org/resource/Philippe_Darniche	http://dbpedia.org/resource/Philippe_Darniche
Philibert Fressinet	Philibert Fressinet	http://fr.dbpedia.org/resource/Philibert_Fressinet
Patrick Bauchau	Patrick Bauchau	http://fr.dbpedia.org/resource/Patrick_Bauchau	http://dbpedia.org/resource/Patrick_Bauchau
Panayótis Marentákis	Panayótis Marentákis	http://fr.dbpedia.org/resource/Panayótis_Marentákis
Panagiotis Marentakis	Panayótis Marentákis	http://fr.dbpedia.org/resource/Panayótis_Marentákis
Pär Zetterberg	Pär Zetterberg	http://fr.dbpedia.org/resource/Pär_Zetterberg	http://dbpedia.org/resource/Pär_Zetterberg
Par Zetterberg	Pär Zetterberg	http://fr.dbpedia.org/resource/Pär_Zetterberg	http://dbpedia.org/resource/Pär_Zetterberg
Pår Zetterberg	Pär Zetterberg	http://fr.dbpedia.org/resource/Pär_Zetterberg	http://dbpedia.org/resource/Pär_Zetterberg
Pieter Vanderghinste	Pieter Vanderghinste	http://fr.dbpedia.org/resource/Pieter_Vanderghinste
Peter Vanderghinste	Pieter Vanderghinste	http://fr.dbpedia.org/resource/Pieter_Vanderghinste
Peter van der Ghinste	Pieter Vanderghinste	http://fr.dbpedia.org/resource/Pieter_Vanderghinste
Pieter Van der Ghinste	Pieter Vanderghinste	http://fr.dbpedia.org/resource/Pieter_Vanderghinste
Vanderghinste	Pieter Vanderghinste	http://fr.dbpedia.org/resource/Pieter_Vanderghinste
Paul Nothomb	Paul Nothomb	http://fr.dbpedia.org/resource/Paul_Nothomb
Peyrade (Balzac)	Peyrade (Balzac)	http://fr.dbpedia.org/resource/Peyrade_(Balzac)
Polina Jemtchoujina	Polina Jemtchoujina	http://fr.dbpedia.org/resource/Polina_Jemtchoujina	http://dbpedia.org/resource/Polina_Zhemchuzhina
Polina Zhemchuzhina	Polina Jemtchoujina	http://fr.dbpedia.org/resource/Polina_Jemtchoujina	http://dbpedia.org/resource/Polina_Zhemchuzhina
Polina molotov	Polina Jemtchoujina	http://fr.dbpedia.org/resource/Polina_Jemtchoujina	http://dbpedia.org/resource/Polina_Zhemchuzhina
Polina molotova	Polina Jemtchoujina	http://fr.dbpedia.org/resource/Polina_Jemtchoujina	http://dbpedia.org/resource/Polina_Zhemchuzhina
Paul Hirsch	Paul Hirsch	http://fr.dbpedia.org/resource/Paul_Hirsch	http://dbpedia.org/resource/Paul_Hirsch_(film_editor)
Pierre Petit (homme politique, 1930)	Pierre Petit (homme politique, 1930)	http://fr.dbpedia.org/resource/Pierre_Petit_(homme_politique,_1930)	http://dbpedia.org/resource/Pierre_Petit_(politician)
Pierre Petit	Pierre Petit (homme politique, 1930)	http://fr.dbpedia.org/resource/Pierre_Petit_(homme_politique,_1930)	http://dbpedia.org/resource/Pierre_Petit_(politician)
Pascal Martinot-Lagarde	Pascal Martinot Lagarde	http://fr.dbpedia.org/resource/Pascal_Martinot-Lagarde	http://dbpedia.org/resource/Pascal_Martinot-Lagarde
Pascal Martinot Lagarde	Pascal Martinot Lagarde	http://fr.dbpedia.org/resource/Pascal_Martinot-Lagarde	http://dbpedia.org/resource/Pascal_Martinot-Lagarde
Paige Matthews	Paige Matthews	http://fr.dbpedia.org/resource/Paige_Matthews	http://dbpedia.org/resource/Paige_Matthews
Paige Matthews Halliwell	Paige Matthews	http://fr.dbpedia.org/resource/Paige_Matthews	http://dbpedia.org/resource/Paige_Matthews
Paulo Freire	Paulo Freire	http://fr.dbpedia.org/resource/Paulo_Freire	http://dbpedia.org/resource/Paulo_Freire
Paolo Freire	Paulo Freire	http://fr.dbpedia.org/resource/Paulo_Freire	http://dbpedia.org/resource/Paulo_Freire
Patrick Pentland	Patrick Pentland	http://fr.dbpedia.org/resource/Patrick_Pentland	http://dbpedia.org/resource/Patrick_Pentland
Philippe Antoine Jacob de Cordemoy	Philippe Antoine Jacob de Cordemoy	http://fr.dbpedia.org/resource/Philippe_Antoine_Jacob_de_Cordemoy
Pagno di Lapo Portigiani	Pagno di Lapo Portigiani	http://fr.dbpedia.org/resource/Pagno_di_Lapo_Portigiani	http://dbpedia.org/resource/Pagno_di_Lapo_Portigiani
Patric Cabral Lalau	Patric Cabral Lalau	http://fr.dbpedia.org/resource/Patric_Cabral_Lalau	http://dbpedia.org/resource/Patric_Cabral_Lalau
Pierre-André Blaser	Pierre André Blaser	http://fr.dbpedia.org/resource/Pierre-André_Blaser
Pietro Anastasi	Pietro Anastasi	http://fr.dbpedia.org/resource/Pietro_Anastasi	http://dbpedia.org/resource/Pietro_Anastasi
Perttu Lindgren	Perttu Lindgren	http://fr.dbpedia.org/resource/Perttu_Lindgren	http://dbpedia.org/resource/Perttu_Lindgren
Paul Giacobbi (homme politique, 1896-1951)	Paul Giacobbi (homme politique, 1896 1951)	http://fr.dbpedia.org/resource/Paul_Giacobbi_(homme_politique,_1896-1951)
Paul, Joseph Marie Giacobbi	Paul Giacobbi (homme politique, 1896 1951)	http://fr.dbpedia.org/resource/Paul_Giacobbi_(homme_politique,_1896-1951)
Paul Giaccobi	Paul Giacobbi (homme politique, 1896 1951)	http://fr.dbpedia.org/resource/Paul_Giacobbi_(homme_politique,_1896-1951)
Paul Joseph Marie Giacobbi	Paul Giacobbi (homme politique, 1896 1951)	http://fr.dbpedia.org/resource/Paul_Giacobbi_(homme_politique,_1896-1951)
Patrick Roberts	Patrick Roberts	http://fr.dbpedia.org/resource/Patrick_Roberts	http://dbpedia.org/resource/Patrick_Roberts
Peter A. Clayton	Peter A. Clayton	http://fr.dbpedia.org/resource/Peter_A._Clayton
Paul Berthier	Paul Berthier	http://fr.dbpedia.org/resource/Paul_Berthier	http://dbpedia.org/resource/Paul_Berthier
Philippe Casimir de Falk	Philippe Casimir de Falk	http://fr.dbpedia.org/resource/Philippe_Casimir_de_Falk
Paul Thomas Anderson	Paul Thomas Anderson	http://fr.dbpedia.org/resource/Paul_Thomas_Anderson	http://dbpedia.org/resource/Paul_Thomas_Anderson
P.T. Anderson	Paul Thomas Anderson	http://fr.dbpedia.org/resource/Paul_Thomas_Anderson	http://dbpedia.org/resource/Paul_Thomas_Anderson
PT Anderson	Paul Thomas Anderson	http://fr.dbpedia.org/resource/Paul_Thomas_Anderson	http://dbpedia.org/resource/Paul_Thomas_Anderson
Patrick Tosani	Patrick Tosani	http://fr.dbpedia.org/resource/Patrick_Tosani
Pierre Brambilla	Pierre Brambilla	http://fr.dbpedia.org/resource/Pierre_Brambilla	http://dbpedia.org/resource/Pierre_Brambilla
Pat Mallet	Pat Mallet	http://fr.dbpedia.org/resource/Pat_Mallet
Pierre Rolland (cyclisme)	Pierre Rolland (cyclisme)	http://fr.dbpedia.org/resource/Pierre_Rolland_(cyclisme)	http://dbpedia.org/resource/Pierre_Rolland_(cyclist)
Pierre Rolland	Pierre Rolland (cyclisme)	http://fr.dbpedia.org/resource/Pierre_Rolland_(cyclisme)	http://dbpedia.org/resource/Pierre_Rolland_(cyclist)
Pierre Gonard	Pierre Gonard	http://fr.dbpedia.org/resource/Pierre_Gonard
Pierre-Louis Genoud	Pierre Louis Genoud	http://fr.dbpedia.org/resource/Pierre-Louis_Genoud
