Theodore Alexandrovitch de Russie	Fiodor Alexandrovitch de Russie	http://fr.dbpedia.org/resource/Fiodor_Alexandrovitch_de_Russie	http://dbpedia.org/resource/Prince_Feodor_Alexandrovich_of_Russia
Théodore Alexandrovitch	Fiodor Alexandrovitch de Russie	http://fr.dbpedia.org/resource/Fiodor_Alexandrovitch_de_Russie	http://dbpedia.org/resource/Prince_Feodor_Alexandrovich_of_Russia
Théodore Alexandrovitch de Russie	Fiodor Alexandrovitch de Russie	http://fr.dbpedia.org/resource/Fiodor_Alexandrovitch_de_Russie	http://dbpedia.org/resource/Prince_Feodor_Alexandrovich_of_Russia
Friedrich-Wilhelm Otte	Friedrich Wilhelm Otte	http://fr.dbpedia.org/resource/Friedrich-Wilhelm_Otte	http://dbpedia.org/resource/Friedrich-Wilhelm_Otte
Félix De Vigne	Félix De Vigne	http://fr.dbpedia.org/resource/Félix_De_Vigne	http://dbpedia.org/resource/Félix_De_Vigne
Félix de Vigne	Félix De Vigne	http://fr.dbpedia.org/resource/Félix_De_Vigne	http://dbpedia.org/resource/Félix_De_Vigne
Félix devigne	Félix De Vigne	http://fr.dbpedia.org/resource/Félix_De_Vigne	http://dbpedia.org/resource/Félix_De_Vigne
Fernando Galetto	Fernando Galetto	http://fr.dbpedia.org/resource/Fernando_Galetto	http://dbpedia.org/resource/Fernando_Galetto
Francesco Cornaro (doge)	Francesco Cornaro (doge)	http://fr.dbpedia.org/resource/Francesco_Cornaro_(doge)	http://dbpedia.org/resource/Francesco_Cornaro_(Doge)
Francesco Cornaro	Francesco Cornaro (doge)	http://fr.dbpedia.org/resource/Francesco_Cornaro_(doge)	http://dbpedia.org/resource/Francesco_Cornaro_(Doge)
Fabio Casartelli	Fabio Casartelli	http://fr.dbpedia.org/resource/Fabio_Casartelli	http://dbpedia.org/resource/Fabio_Casartelli
Frédéric Dufour	Frédéric Dufour	http://fr.dbpedia.org/resource/Frédéric_Dufour	http://dbpedia.org/resource/Frédéric_Dufour
Frederic Dufour	Frédéric Dufour	http://fr.dbpedia.org/resource/Frédéric_Dufour	http://dbpedia.org/resource/Frédéric_Dufour
Frédéric Rapilly	Frédéric Rapilly	http://fr.dbpedia.org/resource/Frédéric_Rapilly
Fritz Strobl	Fritz Strobl	http://fr.dbpedia.org/resource/Fritz_Strobl	http://dbpedia.org/resource/Fritz_Strobl
Fay Wray	Fay Wray	http://fr.dbpedia.org/resource/Fay_Wray	http://dbpedia.org/resource/Fay_Wray
Federico Kleger	Federico Kleger	http://fr.dbpedia.org/resource/Federico_Kleger
Faustine Robert	Faustine Robert	http://fr.dbpedia.org/resource/Faustine_Robert
Franco Baresi	Franco Baresi	http://fr.dbpedia.org/resource/Franco_Baresi	http://dbpedia.org/resource/Franco_Baresi
Franz Wüllner	Franz Wüllner	http://fr.dbpedia.org/resource/Franz_Wüllner	http://dbpedia.org/resource/Franz_Wüllner
Frères Dalton (Lucky Luke)	Frères Dalton (Lucky Luke)	http://fr.dbpedia.org/resource/Frères_Dalton_(Lucky_Luke)	http://dbpedia.org/resource/The_Daltons_(Lucky_Luke)
Averell Dalton	Frères Dalton (Lucky Luke)	http://fr.dbpedia.org/resource/Frères_Dalton_(Lucky_Luke)	http://dbpedia.org/resource/The_Daltons_(Lucky_Luke)
Freres Dalton	Frères Dalton (Lucky Luke)	http://fr.dbpedia.org/resource/Frères_Dalton_(Lucky_Luke)	http://dbpedia.org/resource/The_Daltons_(Lucky_Luke)
Frères Daltons	Frères Dalton (Lucky Luke)	http://fr.dbpedia.org/resource/Frères_Dalton_(Lucky_Luke)	http://dbpedia.org/resource/The_Daltons_(Lucky_Luke)
Joe Dalton	Frères Dalton (Lucky Luke)	http://fr.dbpedia.org/resource/Frères_Dalton_(Lucky_Luke)	http://dbpedia.org/resource/The_Daltons_(Lucky_Luke)
Francisco Galdós	Francisco Galdós	http://fr.dbpedia.org/resource/Francisco_Galdós	http://dbpedia.org/resource/Francisco_Galdós
Francisco Galdos	Francisco Galdós	http://fr.dbpedia.org/resource/Francisco_Galdós	http://dbpedia.org/resource/Francisco_Galdós
Franklin Dyall	Franklin Dyall	http://fr.dbpedia.org/resource/Franklin_Dyall	http://dbpedia.org/resource/Franklin_Dyall
François Allaire	François Allaire	http://fr.dbpedia.org/resource/François_Allaire	http://dbpedia.org/resource/François_Allaire
Francois Allaire	François Allaire	http://fr.dbpedia.org/resource/François_Allaire	http://dbpedia.org/resource/François_Allaire
Felix Pappalardi	Felix Pappalardi	http://fr.dbpedia.org/resource/Felix_Pappalardi	http://dbpedia.org/resource/Felix_Pappalardi
Félix Pappalardi	Felix Pappalardi	http://fr.dbpedia.org/resource/Felix_Pappalardi	http://dbpedia.org/resource/Felix_Pappalardi
Franz Kamphaus	Franz Kamphaus	http://fr.dbpedia.org/resource/Franz_Kamphaus	http://dbpedia.org/resource/Franz_Kamphaus
François-Auguste Mignet	François Auguste Mignet	http://fr.dbpedia.org/resource/François-Auguste_Mignet	http://dbpedia.org/resource/François_Mignet
Auguste Mignet	François Auguste Mignet	http://fr.dbpedia.org/resource/François-Auguste_Mignet	http://dbpedia.org/resource/François_Mignet
F. A. M. Mignet	François Auguste Mignet	http://fr.dbpedia.org/resource/François-Auguste_Mignet	http://dbpedia.org/resource/François_Mignet
Francois-Auguste Mignet	François Auguste Mignet	http://fr.dbpedia.org/resource/François-Auguste_Mignet	http://dbpedia.org/resource/François_Mignet
François-Auguste-Marie Mignet	François Auguste Mignet	http://fr.dbpedia.org/resource/François-Auguste_Mignet	http://dbpedia.org/resource/François_Mignet
François-auguste mignet	François Auguste Mignet	http://fr.dbpedia.org/resource/François-Auguste_Mignet	http://dbpedia.org/resource/François_Mignet
François Mignet	François Auguste Mignet	http://fr.dbpedia.org/resource/François-Auguste_Mignet	http://dbpedia.org/resource/François_Mignet
Filippo Fortin	Filippo Fortin	http://fr.dbpedia.org/resource/Filippo_Fortin	http://dbpedia.org/resource/Filippo_Fortin
Francisco Robles Ortega	Francisco Robles Ortega	http://fr.dbpedia.org/resource/Francisco_Robles_Ortega	http://dbpedia.org/resource/Francisco_Robles_Ortega
Francisco Robles	Francisco Robles Ortega	http://fr.dbpedia.org/resource/Francisco_Robles_Ortega	http://dbpedia.org/resource/Francisco_Robles_Ortega
François de Nuchèze	François de Nuchèze	http://fr.dbpedia.org/resource/François_de_Nuchèze
Francisco Rufete	Francisco Rufete	http://fr.dbpedia.org/resource/Francisco_Rufete	http://dbpedia.org/resource/Francisco_Rufete
Francisco Javier Pérez Rufete	Francisco Rufete	http://fr.dbpedia.org/resource/Francisco_Rufete	http://dbpedia.org/resource/Francisco_Rufete
Francisco Joaquín Pérez Rufete	Francisco Rufete	http://fr.dbpedia.org/resource/Francisco_Rufete	http://dbpedia.org/resource/Francisco_Rufete
François Pérol	François Pérol	http://fr.dbpedia.org/resource/François_Pérol	http://dbpedia.org/resource/François_Pérol
Francois Perol	François Pérol	http://fr.dbpedia.org/resource/François_Pérol	http://dbpedia.org/resource/François_Pérol
Francisco Rodríguez (baseball)	Francisco Rodríguez (baseball)	http://fr.dbpedia.org/resource/Francisco_Rodríguez_(baseball)	http://dbpedia.org/resource/Francisco_Rodríguez_(Venezuelan_pitcher)
Francisco Rodriguez	Francisco Rodríguez (baseball)	http://fr.dbpedia.org/resource/Francisco_Rodríguez_(baseball)	http://dbpedia.org/resource/Francisco_Rodríguez_(Venezuelan_pitcher)
Flick Shagwell	Flick Shagwell	http://fr.dbpedia.org/resource/Flick_Shagwell	http://dbpedia.org/resource/Flick_Shagwell
Fleury Di Nallo	Fleury Di Nallo	http://fr.dbpedia.org/resource/Fleury_Di_Nallo	http://dbpedia.org/resource/Fleury_Di_Nallo
Frederik Lange	Frederik Lange	http://fr.dbpedia.org/resource/Frederik_Lange	http://dbpedia.org/resource/Frederik_Lange
Félix María Samaniego	Félix María Samaniego	http://fr.dbpedia.org/resource/Félix_María_Samaniego	http://dbpedia.org/resource/Félix_María_de_Samaniego
Felix Maria Samaniego	Félix María Samaniego	http://fr.dbpedia.org/resource/Félix_María_Samaniego	http://dbpedia.org/resource/Félix_María_de_Samaniego
Felix María Samaniego	Félix María Samaniego	http://fr.dbpedia.org/resource/Félix_María_Samaniego	http://dbpedia.org/resource/Félix_María_de_Samaniego
Fernand Wiedemann-Goiran	Fernand Wiedemann Goiran	http://fr.dbpedia.org/resource/Fernand_Wiedemann-Goiran
Franco Zuculini	Franco Zuculini	http://fr.dbpedia.org/resource/Franco_Zuculini	http://dbpedia.org/resource/Franco_Zuculini
Félix Week	Félix Week	http://fr.dbpedia.org/resource/Félix_Week
Felix Week	Félix Week	http://fr.dbpedia.org/resource/Félix_Week
Francesco Abbondio Castiglioni	Francesco Abbondio Castiglioni	http://fr.dbpedia.org/resource/Francesco_Abbondio_Castiglioni	http://dbpedia.org/resource/Francesco_Abbondio_Castiglioni
François Mercurio	François Mercurio	http://fr.dbpedia.org/resource/François_Mercurio
Florian Stalder	Florian Stalder	http://fr.dbpedia.org/resource/Florian_Stalder	http://dbpedia.org/resource/Florian_Stalder
François Prosper Jacqmin	François Prosper Jacqmin	http://fr.dbpedia.org/resource/François_Prosper_Jacqmin
François Vatel	François Vatel	http://fr.dbpedia.org/resource/François_Vatel	http://dbpedia.org/resource/François_Vatel
Francois Vatel	François Vatel	http://fr.dbpedia.org/resource/François_Vatel	http://dbpedia.org/resource/François_Vatel
