Uvo Hölscher (égyptologue)	Uvo Hölscher (égyptologue)	http://fr.dbpedia.org/resource/Uvo_Hölscher_(égyptologue)
Uvo Hölscher	Uvo Hölscher (égyptologue)	http://fr.dbpedia.org/resource/Uvo_Hölscher_(égyptologue)
Uvo Holscher	Uvo Hölscher (égyptologue)	http://fr.dbpedia.org/resource/Uvo_Hölscher_(égyptologue)
Ulrich Pinner	Ulrich Pinner	http://fr.dbpedia.org/resource/Ulrich_Pinner	http://dbpedia.org/resource/Ulrich_Pinner
Ulrich von Hutten	Ulrich von Hutten	http://fr.dbpedia.org/resource/Ulrich_von_Hutten	http://dbpedia.org/resource/Ulrich_von_Hutten
Ulric de Hutten	Ulrich von Hutten	http://fr.dbpedia.org/resource/Ulrich_von_Hutten	http://dbpedia.org/resource/Ulrich_von_Hutten
Ulrich von hutten	Ulrich von Hutten	http://fr.dbpedia.org/resource/Ulrich_von_Hutten	http://dbpedia.org/resource/Ulrich_von_Hutten
Uwe Gospodarek	Uwe Gospodarek	http://fr.dbpedia.org/resource/Uwe_Gospodarek	http://dbpedia.org/resource/Uwe_Gospodarek
Urs Zimmermann	Urs Zimmermann	http://fr.dbpedia.org/resource/Urs_Zimmermann	http://dbpedia.org/resource/Urs_Zimmermann
Ulrich Thomsen	Ulrich Thomsen	http://fr.dbpedia.org/resource/Ulrich_Thomsen	http://dbpedia.org/resource/Ulrich_Thomsen
Urbain IV	Urbain IV	http://fr.dbpedia.org/resource/Urbain_IV	http://dbpedia.org/resource/Pope_Urban_IV
Jacques Pantaléon	Urbain IV	http://fr.dbpedia.org/resource/Urbain_IV	http://dbpedia.org/resource/Pope_Urban_IV
Ugo Cipriani	Ugo Cipriani	http://fr.dbpedia.org/resource/Ugo_Cipriani
Ugo cipriani	Ugo Cipriani	http://fr.dbpedia.org/resource/Ugo_Cipriani
Unni Birkrem	Unni Birkrem	http://fr.dbpedia.org/resource/Unni_Birkrem	http://dbpedia.org/resource/Unni_Birkrem
